CNPJ Emitente;Razão Social Emitente;Data Emissão;Valor Total da Nota;Vencimento1;Valor1;Vencimento2;Valor2;Vencimento3;Valor3;Produto;Quantidade;Vlr.Unitário;Vlr.Total Produto
06.323.460/0001-37;CRISTIANE HASEGAWA-PESCADOS;04/11/2025;640,00;;;;;;;Camarão Limpo;3,00;140,00;420,00
06.323.460/0001-37;CRISTIANE HASEGAWA-PESCADOS;04/11/2025;640,00;;;;;;;Lula limpa;2,00;110,00;220,00
35251060409075054082550050059856311944886111;NESTLE BRASIL LTDA;29/10/2025;575,58;28/11/2025;575,58;;;;;RISTRETIO;100,000;2,800000;280,00
35251060409075054082550050059856311944886111;NESTLE BRASIL LTDA;29/10/2025;575,58;28/11/2025;575,58;;;;;LEGGERO;100,000;2,800000;280,00
09.813.204/0004-69;W2W E-COMMERCE DE VINHOS S/A;27/10/2025;941,50;26/11/2025;470,75;11/12/2025;470,75;;;Estehan Martin DO. Cariñena Chardonnay Macabeo Blanco 2024;6,00;25,96;155,76
09.813.204/0004-69;W2W E-COMMERCE DE VINHOS S/A;27/10/2025;941,50;26/11/2025;470,75;11/12/2025;470,75;;;Tenuta Sant Antonio Scaia 1.CG.T. Trevenezie Garganega Chardonnay 2023;6,00;69,46;416,76
09.813.204/0004-69;W2W E-COMMERCE DE VINHOS S/A;27/10/2025;941,50;26/11/2025;470,75;11/12/2025;470,75;;;Esteban Martin D.O. Cariñena Garnacha Rosado 2024;12,00;25,96;311,52
27.312.819/0001-40;WINE CAPITAL IMPORTACAO E DISTRIBUICAO-EIREL;03/11/2025;1.215,00;29/11/2025;607,50;23/12/2025;607,50;;;CABERNET SAUVIGNON VENE TO IGT AMERIGO VESPUCCI;6,0000;36,5317;219,19
27.312.819/0001-40;WINE CAPITAL IMPORTACAO E DISTRIBUICAO-EIREL;03/11/2025;1.215,00;29/11/2025;607,50;23/12/2025;607,50;;;CABERNET SAUVIGNON VENE TO IGT AMERIGO VESPUCCI;6,0000;37,2683;223,61
27.312.819/0001-40;WINE CAPITAL IMPORTACAO E DISTRIBUICAO-EIREL;03/11/2025;1.215,00;29/11/2025;607,50;23/12/2025;607,50;;;PINOT GRIGIO DELLE VENE ZIE DOC CASTELNUOVO;12,0000;42,4000;508,80
27.312.819/0001-40;WINE CAPITAL IMPORTACAO E DISTRIBUICAO-EIREL;03/11/2025;1.215,00;29/11/2025;607,50;23/12/2025;607,50;;;BIANCO PREMIUM THAT'S W HY;6,0000;43,9000;263,40
06.323.460/0001-37;CRISTIANE HASEGAWA PESCADOS EPP;31/10/2025;1.786,40;21/11/2025;1.786,40;;;;;PREGEREBA;34,3000;48,000;1.646,40
06.323.460/0001-37;CRISTIANE HASEGAWA PESCADOS EPP;31/10/2025;1.786,40;21/11/2025;1.786,40;;;;;MEXILHAO;0,5000;60,000;30,00
06.323.460/0001-37;CRISTIANE HASEGAWA PESCADOS EPP;31/10/2025;1.786,40;21/11/2025;1.786,40;;;;;LULA;1,0000;110,000;110,00
09.063.896/0001-22;SPECIALITA COMERCIO DE BEBIDAS TDA.;30/10/2025;1.476,94;01/12/2025;1.476,94;;;;;SUCO DE UVA VARIETAL ROSE CABERNET SAUVIGNON 750ML;24,0000;31,5300;756,72
09.063.896/0001-22;SPECIALITA COMERCIO DE BEBIDAS TDA.;30/10/2025;1.476,94;01/12/2025;1.476,94;;;;;SUCO DE UVA 250 ml-Vale dos Vinhedos;36,0000;10,9600;394,56
09.063.896/0001-22;SPECIALITA COMERCIO DE BEBIDAS TDA.;30/10/2025;1.476,94;01/12/2025;1.476,94;;;;;BEBBER-ALMEJO VINHO BRANCO CHARDONNAY 750MIL;6,0000;54,1100;324,66
09.063.896/0001-22;SPECIALITA COMERCIO DE BEBIDAS TDA.;30/10/2025;1.476,94;01/12/2025;1.476,94;;;;;BEBBER-ALMEJO VINHO TINTO ROSE 750ML;1,0000;1,0000;1,00
35251105728235000118550010000845006029781150;COSTAZZURRA IMPORTAÇÃO E EXPORTAÇÃO LTDA;04/11/2025;1.038,48;03/12/25;346,16;18/12/25;346,16;02/01/26;346,16;POMODORI ITA COSTAZZURRA 2,55 KG;6;31,360000000;188,16
35251105728235000118550010000845006029781150;COSTAZZURRA IMPORTAÇÃO E EXPORTAÇÃO LTDA;04/11/2025;1.038,48;03/12/25;346,16;18/12/25;346,16;02/01/26;346,16;ITA SANTA ISABELLA TTO PRIMITIVO PUGLIA 750ML;14;47,240000000;850,32
14.739.674/0002-06;AC URBAN TRIBE IMPORTACAO E COMERCIO LTDA;05/11/2025;1.548,00;03/12/2025;1.546,00;;;;;Rioja Bordon Crianza 750ml-17244;6,000;93,00;558,00
14.739.674/0002-06;AC URBAN TRIBE IMPORTACAO E COMERCIO LTDA;05/11/2025;1.548,00;03/12/2025;1.546,00;;;;;Marın Garnacha Blanca;6,000;78,00;468,00
14.739.674/0002-06;AC URBAN TRIBE IMPORTACAO E COMERCIO LTDA;05/11/2025;1.548,00;03/12/2025;1.546,00;;;;;Cest Trop Rose;6,000;87,00;522,00
