CNPJ Emitente,Razão Social Emitente,Data Emissão,Valor Total da Nota,Vencimento1,Valor1,Vencimento2,Valor2,Vencimento3,Valor3,Produto,Quantidade,Vlr.Unitário,Vlr.Total Produto
30.161.877/0001-25,HMI REPRESENTACAO DE ALIMENTOS LTDA,27/10/2025,"670,51",03/11/2025,"670,51",,,,,QUEIJO PARMESAO ARROYO CABRAL,"6,910","69,90","483,01"
30.161.877/0001-25,HMI REPRESENTACAO DE ALIMENTOS LTDA,27/10/2025,"670,51",03/11/2025,"670,51",,,,,MANTEIGA LA MILK,"5,000","37,50","187,50"
08.602.684/0002-94,MASTER FOODS COMERCIO E IMPORTACAO LTDA,27/10/2025,"2.776,37",03/11/2025,"2.776,37",,,,,PERNIL S/O ALIORI,"42,13","65,9000","2.776,37"
09.063.896/0001-22,SPECIALITA COMERCIO DE BEBIDAS LTDA.,03/10/2025,"398,36",03/11/2025,"398,36",,,,,SUCO DE UVA VARIETAL ROSE CABERNET SAUVIGNON 750ML,"12,0000","31,5300","378,36"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,ABACAXI,"9,6000000000","4,0000","38,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,ABOBRINHA ITALIANA,"1,1400","6,4000000000","7,30"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,AGRIAO HIDROPONICO,"3,2000000000","2,0000","6,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,ALECRIM,"1,0000","12,8000000000","12,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,ALFACE CRESPA,"2,0000","2,5600000000","5,12"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,ALFACE ROXA HIDROPONICA,"2,0000","2,4000000000","4,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,ALHO ROXO COM CASCA,"1,0000","30,4000000000","30,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,BANANA TERRA,"3,1600","11,7600000000","37,16"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,BANANA NANICA,"1,1200","7,1200000000","7,97"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,BATATA DOCE ESP,"2,0000","8,0000000000","16,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,BATATA LAVADA,"7,0000","5,3600000000","37,52"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,CEBOLA BRANCA,"3,0000","2,3000000000","6,90"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,CENOURA,"0,7200","6,0000000000","4,32"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,SHIMEJI PRETO,"2,0000","11,2500000000","22,50"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,SHITAKE,"2,0000","12,8000000000","25,60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,COENTRO,"1,0000","16,0000000000","16,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,DILL,"1,0000","12,8000000000","12,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,PIMENTA JALAPENO,"0,2000","32,0000000000","6,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,LARANJA PERA,"1,0000","4,1600000000","4,16"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,LIMAO TAHITI,"3,3600","7,5000000000","25,20"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,LIMAO SICILIANO,"2,3100","13,1360000000","30,34"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,MANGA PALMER,"1,0000","7,5200000000","7,52"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,MANJERICAO ROXO,"1,0000","9,6000000000","9,60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,MORANGO,"2,0000","9,0000000000","18,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,OVO BRANCO,"1,0000","24,0000000000","24,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,PIMENTAO VERMELHO,"0,3100","22,0000000000","6,82"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,RADICHIO,"2,0000","8,0000000000","16,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,RUCULA HIDROPONICA,"2,0000","4,0000000000","8,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,SALSA CRESPA,"2,0000","6,4000000000","12,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,TOMATE CEREJA,"1,0000","3,5200000000","3,52"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,TOMATE CEREJA AMARELO,"1,0000","8,0000000000","8,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,TOMATE SALADA,"6,0000","10,4000000000","62,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,TOMILHO,"1,0000","8,0000000000","8,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,CEBOLINHA COMUM,"1,0000","3,2000000000","3,20"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,27/10/2025,"549,95",04/11/2025,"549,95",,,,,REPOLHO BRANCO,"1,0000","4,0000000000","4,00"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,COCO RALADO SOCOCO 1KG,1,"68,13","68,13"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,COGNAC DREHER 900 ML,1,"21,13","21,13"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,"CREME DE LEITE FRESCO ECILA 1,01 L",24,"46,90","1.125,60"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,MAC ESPAGUETE COM OVOS PETYBON 500G,4,"4,25","17,00"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,MOSTARDA HEINZ FP 255 G,4,"17,89","71,56"
