"CNPJ Emitente","Razão Social Emitente","Data Emissão","Valor Total da Nota","Vencimento1","Valor1","Vencimento2","Valor2","Vencimento3","Valor3","Produto","Quantidade","Vlr.Unitário","Vlr.Total Produto","DANFE"
"09.063.896/0001-22","SPECIALITA COMERCIO DE BEBIDAS LTDA.","03/10/2025","398,36","03/11/2025","398,36","","","","","SUCO DE UVA VARIETAL ROSE CABERNET SAUVIGNON 750ML","12,0000","31,5300","378,36","0000035624"
"14.798.308/0001-39","PEIXE GOURMET IMPORTACAO E EXPORTACAO LTDA","10/10/25","719,88","01/11/25","719,88","","","","","POLVO TENTACULO NACIONAL-120/200-CX 12 KG","12,000","9,990","719,88","000.078.515"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","ABACAXI","6,0000","9,6000000000","57,60","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","ABOBRINHA ITALIANA","6,4000000000","1,3000","8,32","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","AGRIAO HIDROPONICO","2,0000","3,2000000000","6,40","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","ALECRIM","1,0000","12,8000000000","12,80","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","ALFACE CRESPA","2,0000","2,5600000000","5,12","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","ALFACE ROXA HIDROPONICA","2,0000","2,4000000000","4,80","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","ALHO ROXO COM CASCA","2,0000","30,4000000000","60,80","000.023.183"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","24/10/2025","632,87","01/11/2025","632,87","","","","","BANANA TERRA","4,7000","11,7600000000","55,27","000.023.183"
