"CNPJ Emitente","Razão Social Emitente","Data Emissão","Valor Total da Nota","Vencimento1","Valor1","Vencimento2","Valor2","Vencimento3","Valor3","Produto","Quantidade","Vlr.Unitário","Vlr.Total Produto","DANFE"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","AMENDOA S/PELE LAMINADA KINGFOOD FD10X1KG VAL APROX TRIBUTOS R$ 39.66 (42.69%) FONTE: IBPT","1,00","92,90","92,90","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","ARROZ BRANCO T1 CAMIL FD6X5KG VAL APROX TRIBUTOS R$ 16.49 (15.73) %FONTE: IBPT","4,00","26,20","104,80","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","CASTANHA DE CAJU XEREM LERYC PCT 1KG VAL APROX TRIBUTOS R$ 10.88 (32.09%) FONTE: IBPT","1,00","33,90","33,90","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","GRANULADO SABOR CHOCOLATE HARALD CX10X1,05KG VAL APROX TRIBUTOS R$ 8.13 (28.52%) FONTE: IBPT","1,00","28,50","28,50","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","LEITE DE COCO SOCOCO CX12X1LITRO VAL APROX TRIBUTOS R$ 203.79 (26.33%) FONTE: IBPT","24,00","32,25","774,00","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","MEL SILVESTRE POTE 1KG CX12 NOVO MEL VAL APROX TRIBUTOS R$ 28.82 (32.09%) FONTE: JBPT","2,00","44,90","89,80","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","REQUEIJAO BISNAGA (PURO] CATUPIRY CX12X1,54KG VAL APROX TRIBUTOS R$ 21.17 (32.09%) FONTE: IBPT","1,00","65,96","65,96","000.339.810"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","27/10/2025","1.229,56","11/11/2025","614,78","18/11/2025","614,78","","","MUSSARELA DE BUFALA (BOCCONCINO YEMA PCT 330GR VAL APROX TRIBUTOS R$ 12.74 (32.09%) FONTE: IBPT","2,00","19,85","39,70","000.339.810"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","AMENDOAS LAMINADAS 1 KG","","96,88","96,88","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","CALDO DE GALINHA KNORR 1,01KG","1,00","19,42","19,42","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","CALDO DE CARNE KNORR 1.01KG","","19,42","19,42","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","CALDO DELICIAS DO MAR KNORR 1,01KG","1,00","20,13","20,13","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","COCO RALADO FINO 1KG","11,00","37,94","37,94","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","CREME DE LEITE FRESCO ECILA 1,01 L","15,00","46,90","703,50","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","GRAO DE BICO PCT 1KG","2,00","11,53","23,06","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","MAC ESPAGUETE COM OVOS PETYBON 500G","3,00","4,99","14,97","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","MAC ESPAGUETE N 08 DIVELLA 500G","4,00","10,36","41,44","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","AMIDO DE MILHO MAIZENA 1KG","1,00","21,72","21,72","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","MASSA FOLHADA AROSA 1KG","4,00","44,76","179,04","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","OLEO DE GIRASSOL LIZA 900 ML","20,00","19,43","388,60","479056"
"09.640.611/0002-50","EMPORIO MEL COMERCIO DE ALIMENTOS E BEBI","03/11/2025","1.602,45","10/11/2025","801,22","17/11/2025","801,23","","","FERMENTO EM PO ROYAL 250G","13,00","12,11","36,33","479056"
"29.835.524/0001-84","ROMEU PASQUANTONIO","03/11/2025","2.028,00","11/11/2025","1.014,00","18/11/2025","1.014,00","","","CAMARAO 11/15 DESC EVISC TELSON","12,0000","169,000000","2.028,00","000.009.807"
"00.923.077/0001-33","CALIMP IMP. EXP. LTDA","20/10/2025","451,92","10/11/2025","451,92","","","","","NASCARPONE UNT STERILGARDA 2000","24,00","18,83","451,92","433.858"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","ABACAXI","9,6000000000","3,0000","28,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","ABOBRINHA ITALIANA","0,6400","6,4000000000","4,10","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","AGRIAO HIDROPONICO","2,0000","3,2000000000","6,40","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","ALECRIM","1,0000","12,8000000000","12,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","ALFACE CRESPA","2,0000","2,5600000000","5,12","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","ALFACE ROXA HIDROPONICA","2,0000","2,4000000000","4,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","ALHO ROXO COM CASCA","2,0000","30,4000000000","60,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","BANANA PRATA","1,3900","6,6400000000","9,23","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","BATATA DOCE ESP","2,0000","8,0000000000","16,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","BATATA LAVADA","7,0000","5,3600000000","37,52","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","CEBOLA BRANCA","3,0000","2,3000000000","6,90","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","CENOURA","0,7800","6,0000000000","4,68","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","GENGIBRE","0,1500","10,6000000000","1,59","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","HORTELA","0,5000","9,6000000000","4,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","MACA VERDE","0,4300","15,6800000000","6,74","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","MANGA PALMER","1,2300","7,5200000000","9,25","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","MANJERICAO ROXO","1,0000","9,6000000000","9,60","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","MORANGO","2,0000","9,0000000000","18,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","OVO BRANCO","1,0000","24,0000000000","24,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","PALMITO PUPUNHA","1,0000","19,2000000000","19,20","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","PIMENTAO VERMELHO","0,4000","22,0000000000","8,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","RUCULA HIDROPONICA","2,0000","4,0000000000","8,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","SALSA CRESPA","2,0000","6,4000000000","12,80","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","TOMATE CEREJA","1,0000","3,5200000000","3,52","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","TOMATE CEREJA AMARELO","1,0000","8,0000000000","8,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","TOMATE SALADA","5,0000","10,4000000000","52,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","TOMILHO","1,0000","8,0000000000","8,00","000.023.290"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","03/11/2025","401,85","11/11/2025","401,85","","","","","CEBOLINHA INDUSTRIAL","1,0000","10,4000000000","10,40","000.023.290"
"30.161.877/0001-25","HME REPRESENTACAO DE ALIMENTOS LTDA","05/11/2025","668,76","12/11/2025","668,76","","","","","QUEIJO PARMESAO ARROYO CABRAL","6,885","69,90","481,26","000.052.331"
"30.161.877/0001-25","HME REPRESENTACAO DE ALIMENTOS LTDA","05/11/2025","668,76","12/11/2025","668,76","","","","","MANTEIGA LA MILK","5,000","37,50","187,50","000.052.331"
"22.873.332/0001-13","3GX COMERCIO DE ALIMENTOS LTDA","04/11/2025","2.510,58","11/11/25","1.255,29","18/11/25","1.255,29","","","F MIGNON S/C STEAKHOUSE RESF.18746-3 CX 12.306 11.581 11.226 |","35,113","71,50","2.510,59","1149282"
"09.063.896/0001-22","SPECIALITA COMERCIO DE BEBIDAS LTDA.","09/10/2025","756,72","10/11/2025","756,72","","","","","SUCO DE UVA VARIETAL ROSE CABERNET SAUVIGNON 750ML","24,0000","31,5300","756,72","0000035654"
"06.323.460/0001-37","CRISTIANE HASEGAWA-PESCADOS","21/10/2025","2.349,60","","","","","","","Pregereba","32,70","48,00","1.569,60","16378"
"06.323.460/0001-37","CRISTIANE HASEGAWA-PESCADOS","21/10/2025","2.349,60","","","","","","","Camarão Limpo","4,00","140,00","560,00","16378"
"06.323.460/0001-37","CRISTIANE HASEGAWA-PESCADOS","21/10/2025","2.349,60","","","","","","","Lula limpa","2,00","110,00","220,00","16378"
